age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,total_contacts,call_efficiency,multiple_loans,is_new_customer,y,y_numeric
31,blue-collar,married,primary,no,26.0,yes,no,cellular,20,may,51.0,16.03593700000057,-1,0,other_outcome,26,1.8888888888888888,0,1,no,0
56,management,married,tertiary,no,0.0,no,no,cellular,17,nov,194.0,1.0,-1,0,other_outcome,1,97.0,0,1,no,0
44,management,single,secondary,no,-228.0,yes,yes,cellular,13,may,38.0,1.0,362,2,failure,3,19.0,1,0,no,0
52,technician,married,secondary,no,230.0,yes,yes,cellular,21,nov,89.0,4.0,-1,0,other_outcome,4,17.8,1,1,no,0
37,entrepreneur,married,tertiary,no,2685.0,no,no,cellular,20,jun,187.0,2.0,-1,0,other_outcome,2,62.333333333333336,0,1,no,0
57,admin.,single,secondary,no,7400.0,yes,no,cellular,11,may,485.0,2.0,-1,0,other_outcome,2,161.66666666666666,0,1,no,0
48,technician,married,tertiary,no,9207.0,no,no,cellular,18,aug,445.0,3.0,-1,0,other_outcome,3,111.25,0,1,no,0
33,management,divorced,tertiary,no,47.0,no,no,cellular,21,nov,86.0,3.0,-1,0,other_outcome,3,21.5,0,1,no,0
43,management,married,tertiary,no,177.0,no,no,cellular,20,jun,9.0,16.03593700000057,-1,0,other_outcome,18,0.4736842105263157,0,1,no,0
34,admin.,single,secondary,no,151.0,yes,no,cellular,12,may,590.0,1.0,370,1,other,2,295.0,0,0,yes,1
33,blue-collar,married,secondary,no,2655.0,yes,no,cellular,21,nov,195.0,1.0,-1,0,other_outcome,1,97.5,0,1,no,0
36,admin.,married,secondary,no,1031.0,no,no,cellular,17,jun,282.0,4.0,-1,0,other_outcome,4,56.4,0,1,yes,1
38,technician,married,secondary,no,1448.0,yes,no,cellular,20,nov,415.0,1.0,-1,0,other_outcome,1,207.5,0,1,no,0
39,technician,divorced,tertiary,no,113.0,yes,yes,cellular,2,apr,1012.0,2.0,-1,0,other_outcome,2,337.3333333333333,1,1,no,0
29,blue-collar,single,secondary,no,-125.0,yes,no,cellular,29,may,198.0,3.0,-1,0,other_outcome,3,49.5,0,1,no,0
50,blue-collar,married,primary,no,1549.0,yes,no,cellular,11,may,445.0,2.0,299,6,other,8,148.33333333333334,0,0,no,0
52,management,married,tertiary,no,3634.0,no,no,cellular,8,feb,341.0,8.0,-1,0,other_outcome,8,37.888888888888886,0,1,yes,1
58,admin.,divorced,secondary,no,1713.0,no,no,cellular,15,may,544.0,2.0,-1,0,other_outcome,2,181.33333333333331,0,1,no,0
59,management,single,tertiary,no,68.0,yes,no,cellular,28,may,176.0,2.0,-1,0,other_outcome,2,58.66666666666666,0,1,no,0
41,admin.,married,secondary,no,-18.0,yes,yes,cellular,2,jun,83.0,6.0,-1,0,other_outcome,6,11.857142857142858,1,1,no,0
23,technician,single,secondary,no,231.0,yes,no,cellular,7,may,560.0,3.0,367,1,other,4,140.0,0,0,no,0
36,blue-collar,married,tertiary,no,9.0,yes,no,cellular,18,jun,112.0,3.0,-1,0,other_outcome,3,28.0,0,1,no,0
46,blue-collar,married,primary,no,44.0,no,yes,cellular,10,jul,90.0,9.0,-1,0,other_outcome,9,9.0,0,1,no,0
31,unemployed,married,secondary,no,31.0,yes,no,cellular,15,jul,211.0,6.0,-1,0,other_outcome,6,30.142857142857142,0,1,no,0
70,retired,married,primary,no,2346.0,no,no,cellular,24,feb,694.0,1.0,184,5,failure,6,347.0,0,0,yes,1
25,blue-collar,single,secondary,no,579.0,yes,no,cellular,28,may,225.0,4.0,-1,0,other_outcome,4,45.0,0,1,no,0
48,unemployed,married,tertiary,no,-471.0,yes,no,cellular,19,may,668.0,7.0,-1,0,other_outcome,7,83.5,0,1,no,0
57,housemaid,divorced,tertiary,no,3767.0,no,no,cellular,2,feb,19.0,6.0,-1,0,other_outcome,6,2.7142857142857144,0,1,no,0
42,technician,divorced,secondary,no,1689.0,yes,no,cellular,31,jul,50.0,2.0,-1,0,other_outcome,2,16.666666666666668,0,1,no,0
26,student,single,secondary,no,689.0,no,no,cellular,25,may,678.0,2.0,-1,0,other_outcome,2,226.0,0,1,yes,1
43,admin.,single,secondary,no,733.0,yes,no,cellular,19,nov,1102.0,3.0,-1,0,other_outcome,3,275.5,0,1,yes,1
33,services,married,secondary,no,5034.0,yes,no,cellular,8,may,207.0,3.0,-1,0,other_outcome,3,51.75,0,1,no,0
27,admin.,married,secondary,no,4.0,yes,no,cellular,6,may,243.0,1.0,-1,0,other_outcome,1,121.5,0,1,no,0
29,blue-collar,single,secondary,no,-20.0,yes,no,cellular,29,may,814.0,2.0,-1,0,other_outcome,2,271.3333333333333,0,1,yes,1
44,services,single,secondary,no,0.0,yes,no,cellular,14,may,198.0,1.0,-1,0,other_outcome,1,99.0,0,1,no,0
48,management,married,tertiary,no,269.0,yes,no,cellular,15,jul,109.0,2.0,-1,0,other_outcome,2,36.333333333333336,0,1,no,0
32,technician,single,secondary,no,792.0,no,no,cellular,29,aug,193.0,2.0,-1,0,other_outcome,2,64.33333333333333,0,1,no,0
50,blue-collar,married,primary,no,1064.0,yes,no,cellular,8,aug,31.0,2.0,-1,0,other_outcome,2,10.333333333333334,0,1,no,0
44,management,married,primary,no,5418.0,yes,yes,cellular,28,jul,58.0,5.0,-1,0,other_outcome,5,9.666666666666666,1,1,no,0
36,management,single,tertiary,no,7606.0,yes,no,cellular,30,may,917.0,1.0,-1,0,other_outcome,1,458.5,0,1,yes,1
58,admin.,married,secondary,no,92.0,yes,no,cellular,27,may,180.0,1.0,-1,0,other_outcome,1,90.0,0,1,no,0
58,management,divorced,tertiary,no,1533.0,no,no,cellular,15,may,137.0,2.0,-1,0,other_outcome,2,45.66666666666666,0,1,no,0
41,admin.,single,secondary,no,-22.0,yes,no,cellular,4,jun,166.0,2.0,-1,0,other_outcome,2,55.333333333333336,0,1,no,0
28,technician,married,tertiary,no,107.0,yes,no,cellular,29,jul,122.0,13.0,-1,0,other_outcome,13,8.714285714285714,0,1,no,0
33,blue-collar,single,secondary,no,687.0,yes,no,cellular,9,may,174.0,1.0,-1,0,other_outcome,1,87.0,0,1,no,0
26,technician,single,secondary,no,1275.0,yes,no,cellular,20,jun,18.0,9.0,-1,0,other_outcome,9,1.8,0,1,no,0
47,unemployed,married,secondary,no,926.0,no,no,cellular,14,aug,436.0,1.0,403,5,success,6,218.0,0,0,yes,1
34,blue-collar,married,secondary,no,29.0,yes,no,cellular,15,may,285.0,5.0,-1,0,other_outcome,5,47.5,0,1,yes,1
49,blue-collar,married,secondary,no,3348.0,no,no,cellular,4,aug,144.0,1.0,-1,0,other_outcome,1,72.0,0,1,no,0
44,management,married,tertiary,no,368.0,no,no,cellular,9,jul,73.0,3.0,-1,0,other_outcome,3,18.25,0,1,no,0
37,blue-collar,single,primary,no,0.0,yes,yes,cellular,22,jul,118.0,1.0,-1,0,other_outcome,1,59.0,1,1,no,0
31,admin.,married,secondary,no,393.0,yes,no,cellular,14,may,466.0,1.0,-1,0,other_outcome,1,233.0,0,1,no,0
57,housemaid,married,primary,no,473.0,no,no,cellular,9,jun,87.0,1.0,-1,0,other_outcome,1,43.5,0,1,no,0
31,unemployed,single,secondary,no,199.0,yes,no,cellular,16,may,86.0,1.0,-1,0,other_outcome,1,43.0,0,1,no,0
50,technician,married,secondary,no,413.0,yes,no,cellular,19,may,243.0,2.0,-1,0,other_outcome,2,81.0,0,1,no,0
46,blue-collar,married,primary,no,1114.0,yes,no,cellular,15,may,490.0,3.0,-1,0,other_outcome,3,122.5,0,1,no,0
65,unemployed,married,secondary,no,3195.0,no,no,telephone,2,mar,904.0,1.0,-1,0,other_outcome,1,452.0,0,1,yes,1
31,admin.,single,secondary,no,554.0,yes,no,cellular,11,feb,80.0,1.0,6,1,failure,2,40.0,0,0,no,0
29,self-employed,married,tertiary,yes,0.0,yes,yes,cellular,5,jun,399.0,3.0,-1,0,other_outcome,3,99.75,1,1,no,0
51,management,married,tertiary,no,5108.0,yes,no,cellular,8,oct,272.0,1.0,102,8,other,9,136.0,0,0,no,0
35,admin.,married,secondary,no,5250.0,yes,no,cellular,15,apr,343.0,2.0,146,1,failure,3,114.33333333333331,0,0,no,0
40,services,divorced,secondary,no,5745.0,yes,yes,cellular,23,may,37.0,1.0,-1,0,other_outcome,1,18.5,1,1,no,0
42,management,married,tertiary,no,2816.0,no,no,cellular,10,nov,193.0,2.0,-1,0,other_outcome,2,64.33333333333333,0,1,yes,1
24,student,single,secondary,no,1719.0,no,no,cellular,13,aug,161.0,4.0,-1,0,other_outcome,4,32.2,0,1,no,0
59,housemaid,divorced,primary,no,259.0,no,no,cellular,31,jul,166.0,4.0,-1,0,other_outcome,4,33.2,0,1,no,0
36,services,married,primary,no,0.0,yes,no,cellular,2,jun,1036.0,1.0,-1,0,other_outcome,1,518.0,0,1,yes,1
37,blue-collar,married,primary,no,508.0,yes,yes,cellular,15,may,340.0,1.0,-1,0,other_outcome,1,170.0,1,1,no,0
59,housemaid,married,primary,no,935.0,yes,no,cellular,19,nov,103.0,3.0,166,2,failure,5,25.75,0,0,no,0
25,blue-collar,married,secondary,no,53.0,yes,no,cellular,13,may,331.0,2.0,-1,0,other_outcome,2,110.33333333333331,0,1,no,0
31,technician,married,secondary,no,-556.0,yes,no,cellular,7,aug,115.0,2.0,-1,0,other_outcome,2,38.333333333333336,0,1,no,0
75,retired,divorced,primary,no,3881.0,yes,no,cellular,4,feb,136.0,3.0,-1,0,other_outcome,3,34.0,0,1,yes,1
39,technician,married,secondary,no,425.0,yes,no,cellular,6,aug,562.0,3.0,-1,0,other_outcome,3,140.5,0,1,no,0
37,management,single,tertiary,no,3452.0,yes,no,cellular,29,aug,8.0,9.0,-1,0,other_outcome,9,0.8,0,1,no,0
48,blue-collar,married,secondary,no,2083.0,no,no,cellular,8,aug,88.0,3.0,-1,0,other_outcome,3,22.0,0,1,no,0
31,admin.,married,secondary,no,1130.0,yes,no,cellular,23,jul,236.0,5.0,-1,0,other_outcome,5,39.333333333333336,0,1,no,0
45,technician,married,secondary,no,0.0,yes,yes,cellular,20,jun,8.0,5.0,-1,0,other_outcome,5,1.3333333333333333,1,1,no,0
53,self-employed,single,secondary,no,289.0,no,no,cellular,4,feb,502.0,1.0,-1,0,other_outcome,1,251.0,0,1,no,0
28,services,single,secondary,no,290.0,yes,no,cellular,18,may,128.0,1.0,-1,0,other_outcome,1,64.0,0,1,no,0
42,admin.,divorced,secondary,no,2397.0,yes,no,cellular,15,apr,239.0,2.0,320,2,failure,4,79.66666666666667,0,0,no,0
35,technician,married,tertiary,no,393.0,no,no,cellular,29,aug,150.0,2.0,-1,0,other_outcome,2,50.0,0,1,no,0
52,blue-collar,married,primary,no,4015.0,yes,no,cellular,15,may,493.0,2.0,-1,0,other_outcome,2,164.33333333333334,0,1,no,0
45,unemployed,divorced,primary,no,407.0,yes,no,cellular,17,apr,196.0,1.0,-1,0,other_outcome,1,98.0,0,1,no,0
48,services,married,secondary,no,300.0,no,yes,cellular,16,jul,52.0,8.0,-1,0,other_outcome,8,5.777777777777778,0,1,no,0
30,management,single,tertiary,no,4.0,yes,no,cellular,17,jul,284.0,1.0,-1,0,other_outcome,1,142.0,0,1,no,0
42,entrepreneur,married,tertiary,no,1654.0,no,no,cellular,17,jun,116.0,1.0,-1,0,other_outcome,1,58.0,0,1,no,0
34,management,divorced,tertiary,no,5754.0,yes,no,cellular,18,nov,32.0,1.0,181,1,failure,2,16.0,0,0,no,0
32,blue-collar,single,secondary,no,3201.0,yes,no,cellular,20,nov,98.0,1.0,178,5,failure,6,49.0,0,0,no,0
31,technician,single,secondary,no,271.0,yes,no,cellular,5,may,269.0,1.0,-1,0,other_outcome,1,134.5,0,1,no,0
50,technician,single,tertiary,no,0.0,yes,no,cellular,8,may,393.0,2.0,-1,0,other_outcome,2,131.0,0,1,no,0
29,blue-collar,married,secondary,no,275.0,yes,no,cellular,18,may,180.0,1.0,-1,0,other_outcome,1,90.0,0,1,no,0
34,management,single,tertiary,no,84.0,no,no,cellular,5,feb,231.0,1.0,-1,0,other_outcome,1,115.5,0,1,no,0
41,technician,divorced,secondary,no,988.0,no,no,cellular,21,aug,429.0,2.0,-1,0,other_outcome,2,143.0,0,1,no,0
40,blue-collar,married,primary,no,3736.0,yes,no,cellular,19,may,29.0,3.0,-1,0,other_outcome,3,7.25,0,1,no,0
37,services,married,secondary,no,343.0,yes,yes,cellular,7,may,104.0,1.0,304,7,failure,8,52.0,1,0,no,0
26,student,single,tertiary,no,10086.0,no,no,cellular,8,jul,475.0,3.0,78,2,success,5,118.75,0,0,no,0
39,blue-collar,single,secondary,no,290.0,yes,no,cellular,5,may,128.0,1.0,336,1,other,2,64.0,0,0,no,0
51,entrepreneur,married,secondary,no,5403.0,yes,no,cellular,19,nov,698.0,1.0,-1,0,other_outcome,1,349.0,0,1,no,0
39,blue-collar,married,primary,no,499.0,yes,no,cellular,13,may,156.0,1.0,-1,0,other_outcome,1,78.0,0,1,no,0
38,blue-collar,married,primary,no,4592.0,yes,no,cellular,12,may,360.0,1.0,-1,0,other_outcome,1,180.0,0,1,no,0
38,technician,single,secondary,no,884.0,yes,yes,cellular,19,nov,295.0,1.0,111,2,failure,3,147.5,1,0,no,0
37,technician,divorced,secondary,no,3068.0,yes,yes,cellular,20,nov,370.0,2.0,195,1,other,3,123.33333333333331,1,0,yes,1
30,services,married,primary,no,1015.0,yes,no,cellular,30,jul,11.0,8.0,-1,0,other_outcome,8,1.2222222222222223,0,1,no,0
61,retired,married,secondary,no,3114.0,no,no,cellular,13,nov,381.0,1.0,-1,0,other_outcome,1,190.5,0,1,yes,1
26,technician,single,secondary,no,150.0,yes,no,cellular,28,may,216.0,1.0,-1,0,other_outcome,1,108.0,0,1,no,0
43,entrepreneur,married,secondary,no,0.0,yes,no,cellular,20,jun,113.0,1.0,-1,0,other_outcome,1,56.5,0,1,no,0
48,management,single,tertiary,no,906.0,yes,no,telephone,29,jul,289.0,9.0,-1,0,other_outcome,9,28.9,0,1,no,0
48,blue-collar,married,secondary,no,558.0,no,no,cellular,25,aug,433.0,6.0,-1,0,other_outcome,6,61.85714285714285,0,1,no,0
32,technician,married,secondary,no,901.0,yes,no,cellular,21,may,102.0,3.0,-1,0,other_outcome,3,25.5,0,1,no,0
35,technician,married,secondary,no,-215.0,no,yes,cellular,31,jul,57.0,16.03593700000057,-1,0,other_outcome,34,1.6285714285714286,0,1,no,0
30,management,single,tertiary,no,3849.0,no,no,telephone,29,aug,115.0,2.0,-1,0,other_outcome,2,38.333333333333336,0,1,no,0
53,blue-collar,married,secondary,no,960.0,no,yes,cellular,24,jun,180.0,1.0,687,2,other,3,90.0,0,0,no,0
28,unemployed,single,secondary,no,23.0,no,no,cellular,28,jan,154.0,1.0,-1,0,other_outcome,1,77.0,0,1,no,0
43,services,married,secondary,no,642.0,no,no,cellular,31,jul,644.0,2.0,-1,0,other_outcome,2,214.66666666666663,0,1,no,0
50,technician,married,secondary,no,349.0,yes,no,telephone,28,jul,27.0,16.03593700000057,-1,0,other_outcome,17,1.5,0,1,no,0
30,technician,married,secondary,no,33.0,yes,no,cellular,18,may,146.0,2.0,-1,0,other_outcome,2,48.66666666666666,0,1,no,0
57,retired,married,primary,no,0.0,no,no,cellular,20,aug,340.0,4.0,-1,0,other_outcome,4,68.0,0,1,no,0
37,blue-collar,single,primary,no,0.0,no,no,cellular,5,jun,39.0,1.0,-1,0,other_outcome,1,19.5,0,1,no,0
37,technician,married,secondary,no,83.0,yes,no,cellular,6,may,68.0,1.0,363,1,failure,2,34.0,0,0,no,0
32,management,married,tertiary,no,2667.0,yes,no,cellular,4,mar,251.0,1.0,181,4,failure,5,125.5,0,0,yes,1
26,services,divorced,secondary,no,1600.0,yes,yes,cellular,30,may,288.0,3.0,-1,0,other_outcome,3,72.0,1,1,no,0
42,unemployed,married,primary,no,2636.0,no,no,cellular,17,nov,178.0,2.0,151,1,failure,3,59.333333333333336,0,0,no,0
32,blue-collar,married,secondary,no,130.0,yes,no,cellular,6,may,302.0,2.0,-1,0,other_outcome,2,100.66666666666669,0,1,no,0
36,technician,single,secondary,no,539.0,yes,no,cellular,27,aug,398.0,2.0,477,1,failure,3,132.66666666666666,0,0,yes,1
35,management,single,tertiary,no,71.0,yes,no,cellular,21,may,836.0,12.0,-1,0,other_outcome,12,64.3076923076923,0,1,no,0
35,blue-collar,single,secondary,no,-37.0,yes,yes,cellular,2,jun,276.0,2.0,-1,0,other_outcome,2,92.0,1,1,no,0
42,retired,married,secondary,no,56.0,yes,no,cellular,5,may,215.0,1.0,-1,0,other_outcome,1,107.5,0,1,no,0
44,entrepreneur,divorced,tertiary,no,316.0,yes,no,cellular,18,nov,244.0,1.0,-1,0,other_outcome,1,122.0,0,1,no,0
51,technician,married,secondary,no,47.0,no,no,cellular,18,aug,54.0,4.0,-1,0,other_outcome,4,10.8,0,1,no,0
36,technician,divorced,secondary,no,5957.0,yes,no,cellular,18,nov,138.0,2.0,-1,0,other_outcome,2,46.0,0,1,no,0
37,management,married,tertiary,no,785.0,yes,no,cellular,17,nov,219.0,2.0,-1,0,other_outcome,2,73.0,0,1,no,0
40,technician,married,tertiary,no,677.0,yes,no,cellular,15,apr,110.0,3.0,-1,0,other_outcome,3,27.5,0,1,no,0
30,blue-collar,married,primary,no,265.0,yes,yes,cellular,9,may,380.0,1.0,-1,0,other_outcome,1,190.0,1,1,no,0
30,blue-collar,married,secondary,no,5903.0,yes,no,cellular,6,may,231.0,1.0,363,1,failure,2,115.5,0,0,no,0
33,blue-collar,married,secondary,no,372.0,yes,no,cellular,6,may,132.0,2.0,-1,0,other_outcome,2,44.0,0,1,no,0
36,self-employed,single,secondary,no,1173.0,yes,yes,cellular,20,jun,50.0,5.0,-1,0,other_outcome,5,8.333333333333334,1,1,no,0
34,management,single,tertiary,no,966.0,yes,no,cellular,21,nov,393.0,1.0,101,3,failure,4,196.5,0,0,no,0
35,management,married,secondary,no,1.0,yes,no,cellular,29,may,246.0,2.0,-1,0,other_outcome,2,82.0,0,1,no,0
34,management,married,tertiary,no,1433.0,no,no,cellular,8,aug,170.0,3.0,-1,0,other_outcome,3,42.5,0,1,no,0
33,management,married,tertiary,no,322.0,yes,no,cellular,16,apr,77.0,3.0,-1,0,other_outcome,3,19.25,0,1,no,0
51,management,married,tertiary,no,285.0,no,no,cellular,9,feb,278.0,2.0,-1,0,other_outcome,2,92.66666666666669,0,1,no,0
36,self-employed,married,tertiary,no,13160.143748000002,yes,no,cellular,6,jun,197.0,3.0,-1,0,other_outcome,3,49.25,0,1,no,0
32,management,married,tertiary,no,937.0,no,no,cellular,28,aug,90.0,1.0,94,2,failure,3,45.0,0,0,no,0
35,technician,single,tertiary,no,0.0,yes,no,telephone,28,aug,46.0,2.0,-1,0,other_outcome,2,15.333333333333334,0,1,no,0
39,blue-collar,married,secondary,no,804.0,yes,no,cellular,21,may,166.0,1.0,-1,0,other_outcome,1,83.0,0,1,no,0
54,blue-collar,married,primary,no,211.0,no,no,cellular,19,jun,200.0,2.0,-1,0,other_outcome,2,66.66666666666667,0,1,no,0
30,management,single,tertiary,no,1572.0,no,no,cellular,28,jan,200.0,1.0,-1,0,other_outcome,1,100.0,0,1,no,0
23,blue-collar,single,secondary,no,525.0,yes,no,cellular,19,may,180.0,1.0,-1,0,other_outcome,1,90.0,0,1,no,0
30,admin.,married,secondary,no,15.0,yes,no,cellular,9,may,257.0,1.0,-1,0,other_outcome,1,128.5,0,1,no,0
30,blue-collar,married,secondary,no,-269.0,yes,no,cellular,27,may,293.0,2.0,-1,0,other_outcome,2,97.66666666666669,0,1,no,0
32,technician,single,tertiary,no,392.0,yes,no,cellular,21,nov,148.0,2.0,-1,0,other_outcome,2,49.333333333333336,0,1,no,0
60,technician,married,secondary,no,1740.0,no,no,cellular,13,mar,296.0,2.0,-1,0,other_outcome,2,98.66666666666669,0,1,yes,1
36,management,married,tertiary,no,-2.0,no,no,cellular,11,aug,242.0,2.0,-1,0,other_outcome,2,80.66666666666667,0,1,no,0
51,blue-collar,married,secondary,no,125.0,yes,no,cellular,8,may,102.0,2.0,-1,0,other_outcome,2,34.0,0,1,no,0
30,admin.,single,secondary,no,914.0,yes,no,cellular,28,oct,524.0,3.0,272,1,failure,4,131.0,0,0,yes,1
39,technician,single,tertiary,no,47.0,yes,no,cellular,5,may,181.0,1.0,-1,0,other_outcome,1,90.5,0,1,no,0
58,management,married,tertiary,no,4265.0,yes,no,cellular,29,may,96.0,2.0,-1,0,other_outcome,2,32.0,0,1,no,0
54,blue-collar,married,primary,no,258.0,no,no,telephone,25,may,86.0,1.0,88,1,failure,2,43.0,0,0,no,0
30,admin.,single,secondary,no,2568.0,no,no,cellular,4,sep,563.0,1.0,100,4,other,5,281.5,0,0,yes,1
54,admin.,married,primary,no,0.0,yes,no,cellular,30,jan,520.0,3.0,-1,0,other_outcome,3,130.0,0,1,no,0
45,technician,married,secondary,no,3601.0,yes,no,cellular,30,may,536.0,2.0,-1,0,other_outcome,2,178.66666666666666,0,1,no,0
35,self-employed,married,secondary,no,670.0,no,no,cellular,9,jul,378.0,1.0,-1,0,other_outcome,1,189.0,0,1,no,0
27,unemployed,single,secondary,no,771.0,no,no,cellular,21,oct,181.0,1.0,302,3,other,4,90.5,0,0,yes,1
48,technician,divorced,secondary,no,145.0,yes,no,cellular,13,aug,106.0,5.0,-1,0,other_outcome,5,17.666666666666668,0,1,no,0
31,blue-collar,married,primary,no,55.0,yes,yes,cellular,17,apr,340.0,2.0,-1,0,other_outcome,2,113.33333333333331,1,1,no,0
24,blue-collar,married,secondary,no,-220.0,yes,no,cellular,2,apr,90.0,1.0,-1,0,other_outcome,1,45.0,0,1,no,0
59,retired,married,primary,no,0.0,yes,no,cellular,26,may,104.0,7.0,-1,0,other_outcome,7,13.0,0,1,no,0
48,admin.,married,primary,no,3644.0,yes,yes,telephone,31,jul,1039.0,9.0,-1,0,other_outcome,9,103.9,1,1,yes,1
46,blue-collar,divorced,secondary,no,1074.0,yes,no,cellular,14,may,277.0,2.0,-1,0,other_outcome,2,92.33333333333331,0,1,no,0
31,management,married,tertiary,no,477.0,yes,no,cellular,21,nov,77.0,5.0,-1,0,other_outcome,5,12.833333333333334,0,1,no,0
40,admin.,single,secondary,no,178.0,yes,no,cellular,7,may,83.0,1.0,-1,0,other_outcome,1,41.5,0,1,no,0
34,blue-collar,married,secondary,no,164.0,no,no,cellular,4,aug,119.0,2.0,-1,0,other_outcome,2,39.66666666666666,0,1,no,0
58,unemployed,married,primary,no,446.0,no,no,cellular,28,jan,402.0,2.0,-1,0,other_outcome,2,134.0,0,1,no,0
27,management,married,tertiary,no,1531.0,yes,no,cellular,15,may,187.0,1.0,367,4,failure,5,93.5,0,0,no,0
30,blue-collar,single,secondary,no,799.0,no,no,cellular,13,jun,674.0,1.0,-1,0,other_outcome,1,337.0,0,1,yes,1
35,services,divorced,secondary,no,-718.0,yes,no,cellular,21,nov,47.0,1.0,-1,0,other_outcome,1,23.5,0,1,no,0
49,technician,married,secondary,no,662.0,no,no,cellular,18,jun,47.0,2.0,-1,0,other_outcome,2,15.666666666666666,0,1,no,0
38,management,married,tertiary,no,691.0,yes,yes,cellular,4,aug,79.0,1.0,-1,0,other_outcome,1,39.5,1,1,no,0
37,management,single,tertiary,no,1743.0,yes,no,cellular,18,nov,192.0,1.0,113,2,failure,3,96.0,0,0,no,0
